Gender,Income Type,Annual Income,Employment Duration,Education Level,Approved
Female,Salaried,66290.93,2.2,Bachelor's,0
Male,Salaried,85605.74,4.9,Bachelor's,1
Male,Self-Employed,12000.0,6.6,Bachelor's,0
Female,Salaried,128648.94,0.2,Bachelor's,1
Male,Salaried,56505.44,3.8,High School,0
Female,Salaried,12000.0,,Bachelor's,0
Female,Self-Employed,69742.82,1.2,High School,0
Female,Pensioner,26905.98,0.0,High School,0
Male,Salaried,62543.17,12.1,High School,1
Male,Business,94735.73,12.9,High School,1
Male,Self-Employed,87423.35,0.4,High School,0
Female,Pensioner,31368.03,0.0,Bachelor's,0
Male,Business,78504.67,5.2,High School,0
Male,Self-Employed,61869.25,1.0,Bachelor's,0
Male,Self-Employed,118264.73,8.7,Master's,1
Female,Pensioner,30021.02,0.0,Master's,0
Female,Salaried,69189.55,14.0,Bachelor's,1
Male,Salaried,66950.74,0.1,Master's,0
Male,Salaried,89398.41,1.5,Bachelor's,1
Male,Business,39684.38,10.5,High School,0
Male,Business,12689.82,,Doctorate,0
Female,Salaried,69704.69,13.5,Master's,1
Female,Self-Employed,73436.91,0.4,Bachelor's,0
Female,Salaried,109687.98,5.5,Bachelor's,1
Female,Salaried,26889.14,5.1,Bachelor's,0
Male,Student,23743.79,1.3,High School,0
Male,Salaried,136022.43,4.3,High School,1
Male,Salaried,53667.05,5.6,Bachelor's,0
Female,Self-Employed,26271.73,1.3,Master's,0
Male,Business,52790.77,1.9,High School,0
Female,Salaried,65420.15,6.1,Master's,1
Female,Self-Employed,81913.64,3.8,High School,0
Male,Self-Employed,47258.16,11.7,Bachelor's,1
Male,Salaried,111655.96,2.5,Bachelor's,1
Male,Salaried,31564.03,1.9,Bachelor's,0
Female,Self-Employed,12823.85,25.1,High School,1
Male,Salaried,98201.31,14.5,Bachelor's,1
Female,Pensioner,18775.25,0.0,Bachelor's,0
Male,Business,58876.11,8.8,High School,0
Female,Student,22056.12,0.2,High School,0
Female,Salaried,64638.69,0.2,Bachelor's,0
Male,Student,20328.1,1.0,Bachelor's,0
Female,Salaried,63278.08,1.9,High School,0
Female,Salaried,63475.98,10.3,Bachelor's,1
Male,Salaried,69819.5,7.4,Master's,1
Female,Salaried,84867.89,24.0,High School,1
Male,Self-Employed,33826.66,7.5,Bachelor's,0
Female,Salaried,115626.44,3.3,High School,1
Male,Salaried,72353.43,7.2,High School,1
Male,Self-Employed,86803.82,45.0,High School,1
Female,Salaried,46155.52,7.4,Bachelor's,1
Female,Self-Employed,103591.46,8.6,Master's,1
Female,Salaried,57288.43,16.7,Bachelor's,1
Female,Business,73326.58,0.7,Bachelor's,0
Female,Business,37006.82,7.3,Bachelor's,0
Male,Salaried,35092.05,11.4,High School,0
Female,Salaried,85646.16,18.5,Bachelor's,1
Male,Salaried,51691.8,1.4,Master's,0
Male,Business,39385.31,4.2,Master's,0
Female,Salaried,45704.5,6.8,Master's,1
Male,Salaried,85968.59,1.7,Bachelor's,1
Male,Salaried,46128.86,5.5,Master's,1
Male,Salaried,61470.35,1.8,High School,0
Male,Salaried,65450.83,2.4,Bachelor's,0
Female,Business,12000.0,3.5,Master's,0
Male,Salaried,20866.21,4.5,High School,0
Female,Salaried,75088.34,3.6,Bachelor's,1
Female,Business,42889.12,4.1,Bachelor's,0
Male,Business,96701.75,,Bachelor's,1
Female,Salaried,94004.21,1.0,High School,1
Female,Salaried,86575.06,0.3,Doctorate,1
Female,Salaried,119593.15,1.3,Bachelor's,1
Male,Pensioner,22539.77,0.0,High School,0
Female,Salaried,84466.46,9.3,High School,1
Female,Pensioner,44010.19,0.0,Master's,0
Female,Self-Employed,138571.1,0.7,High School,1
Male,Self-Employed,124509.01,8.3,High School,1
Female,Salaried,65356.41,2.2,Bachelor's,0
Male,Salaried,76597.59,18.2,Bachelor's,1
Male,Salaried,105778.93,7.5,Bachelor's,1
Male,Salaried,60585.81,2.4,Bachelor's,0
Male,Self-Employed,45301.28,2.1,Master's,0
Male,Student,17709.66,1.8,Doctorate,0
Male,Self-Employed,67353.18,0.5,Bachelor's,0
Female,Business,70489.83,0.8,Bachelor's,0
Male,Salaried,39971.86,1.2,Master's,0
Female,Salaried,13469.84,8.9,Bachelor's,0
Female,Salaried,72084.27,4.3,Bachelor's,1
Male,Self-Employed,92148.86,0.1,High School,0
Female,Pensioner,18705.77,0.0,Bachelor's,0
Female,Self-Employed,108092.89,3.3,Bachelor's,1
Female,Salaried,43882.51,4.3,Bachelor's,0
Female,Salaried,33358.87,1.4,Doctorate,0
Male,Self-Employed,62983.09,4.8,High School,0
Female,Salaried,62522.22,23.2,High School,1
Male,Business,,0.5,High School,0
Female,Business,41751.12,2.0,Bachelor's,0
Female,Self-Employed,106042.83,1.7,High School,1
Male,Salaried,124007.51,1.7,Bachelor's,1
Female,Salaried,63825.68,2.9,Bachelor's,0
Female,Salaried,102491.31,10.2,Bachelor's,1
Female,Salaried,33305.09,14.6,High School,1
Male,Salaried,97256.65,1.4,Master's,1
Female,Self-Employed,96418.29,4.7,Bachelor's,1
Male,Self-Employed,90903.12,6.1,Master's,1
Female,Salaried,64533.11,4.4,Bachelor's,0
Male,Salaried,12000.0,3.4,High School,0
Male,Salaried,45748.19,1.3,High School,0
Female,Salaried,46222.52,4.0,Doctorate,1
Female,Business,35652.35,3.1,Bachelor's,0
Male,Salaried,68667.29,9.5,High School,1
Male,Salaried,52431.1,8.7,Bachelor's,1
Female,Salaried,40261.64,0.9,Bachelor's,0
Male,Pensioner,46335.32,0.0,Bachelor's,0
Female,Self-Employed,43534.61,14.3,High School,1
Female,Salaried,98644.98,4.6,Master's,1
Female,Self-Employed,45169.25,11.7,High School,0
Female,Business,49551.84,0.4,Bachelor's,0
Male,Student,20017.56,1.6,Bachelor's,0
Female,Salaried,75169.81,4.7,High School,1
Male,Pensioner,,0.0,Bachelor's,0
Female,Pensioner,42963.69,0.0,High School,0
Male,Pensioner,19828.29,0.0,Bachelor's,0
Female,Self-Employed,108091.04,3.1,Master's,1
Male,Self-Employed,33494.4,12.1,Bachelor's,1
Male,Salaried,35831.05,16.8,Bachelor's,1
Female,Business,51492.4,29.5,Bachelor's,1
Female,Self-Employed,42319.88,19.2,Bachelor's,1
Female,Self-Employed,71717.81,0.0,Master's,0
Female,Salaried,12000.0,0.3,High School,0
Male,Business,31462.17,1.0,Master's,0
Female,Business,111175.92,2.6,Master's,1
Male,Salaried,37153.4,10.6,Bachelor's,1
Male,Business,102302.85,13.4,High School,1
Female,Self-Employed,75660.15,1.2,High School,0
Male,Business,12000.0,5.8,Bachelor's,0
Male,Salaried,84059.88,15.0,Master's,1
Male,Salaried,61469.98,3.7,Bachelor's,0
Male,Pensioner,22783.52,0.0,High School,0
Female,Salaried,72348.71,3.7,High School,1
Female,Business,79239.0,2.8,Bachelor's,1
Female,Salaried,86227.75,5.2,Bachelor's,1
Female,Self-Employed,100347.59,3.5,High School,1
Male,Salaried,77244.08,0.1,High School,0
Male,Self-Employed,23730.98,30.7,Bachelor's,1
Female,Salaried,50790.64,4.7,Bachelor's,0
Female,Salaried,153291.45,3.9,Bachelor's,1
Female,Salaried,86734.73,18.6,Master's,1
Male,Salaried,136078.62,1.0,Bachelor's,1
Female,Student,10299.62,1.2,High School,0
Female,Student,17161.41,1.3,Bachelor's,0
Female,Salaried,74042.21,1.8,Doctorate,1
Male,Business,63902.6,9.6,Master's,1
Male,Salaried,12865.86,1.9,Master's,0
Male,Self-Employed,65541.42,0.2,Bachelor's,0
Male,Business,101320.24,4.4,Master's,1
Male,Pensioner,18785.24,0.0,Master's,0
Male,Salaried,77358.59,8.5,Bachelor's,1
Male,Business,90547.73,6.1,Bachelor's,1
Male,Salaried,37709.59,15.4,Doctorate,1
Female,Student,23479.1,1.3,Bachelor's,0
Female,Salaried,34462.66,1.2,High School,0
Male,Self-Employed,40335.03,9.7,High School,0
Male,Self-Employed,26371.84,6.2,Bachelor's,0
Female,Self-Employed,37986.55,6.6,Bachelor's,0
Male,Salaried,107583.67,10.7,High School,1
Male,Pensioner,20638.85,0.0,Bachelor's,0
Male,Salaried,68793.78,3.8,Master's,1
Female,Self-Employed,49913.94,6.1,Bachelor's,0
Female,Salaried,100365.98,2.1,High School,1
Female,Salaried,104334.87,1.2,Bachelor's,1
Female,Self-Employed,90922.1,5.8,High School,1
Female,Salaried,74184.04,1.6,Bachelor's,1
Male,Salaried,58068.21,0.5,Bachelor's,0
Female,Salaried,29243.76,0.0,Master's,0
Male,Salaried,123305.87,5.6,Bachelor's,1
Male,Business,42209.81,2.7,High School,0
Female,Pensioner,35897.17,0.0,Bachelor's,0
Female,Salaried,96786.97,2.8,Bachelor's,1
Male,Salaried,48341.59,4.0,Master's,1
Male,Salaried,96140.38,3.1,Master's,1
Male,Salaried,87926.4,6.3,High School,1
Female,Self-Employed,116838.92,2.6,High School,1
Female,Self-Employed,50919.61,19.9,High School,1
Female,Salaried,26424.08,16.5,Master's,1
Female,Salaried,49835.31,11.3,High School,1
Female,Salaried,71265.61,15.2,High School,1
Male,Business,66746.38,3.6,Bachelor's,1
Female,Student,14192.23,0.7,High School,0
Male,Salaried,12000.0,8.1,High School,0
Male,Salaried,79114.49,7.1,Bachelor's,1
Male,Pensioner,25045.01,0.0,Bachelor's,0
Female,Pensioner,27394.57,0.0,Bachelor's,0
Female,Salaried,83274.07,37.0,Doctorate,1
Female,Salaried,82173.36,2.6,High School,0
Male,Salaried,76911.4,10.7,Bachelor's,1
Male,Self-Employed,92949.98,7.2,Master's,1
Male,Salaried,76861.21,7.1,Master's,1
Male,Salaried,55619.68,2.4,Bachelor's,0
Male,Self-Employed,41120.33,9.2,Bachelor's,1
Male,Salaried,57530.79,13.8,High School,1
Female,Business,74423.88,1.5,Bachelor's,0
Female,Salaried,55517.51,5.9,Doctorate,1
Female,Salaried,74430.16,3.0,Bachelor's,1
Female,Self-Employed,78174.5,27.4,Bachelor's,1
Male,Salaried,89995.38,3.9,High School,1
Male,Student,24631.03,0.1,Bachelor's,0
Female,Self-Employed,67340.22,2.9,Bachelor's,0
Male,Salaried,25766.7,6.4,Bachelor's,0
Female,Business,54646.88,0.5,High School,0
Female,Salaried,66321.88,5.6,Bachelor's,1
Female,Pensioner,36868.0,0.0,Bachelor's,0
Male,Salaried,106659.94,11.4,High School,1
Female,Self-Employed,69271.34,0.4,High School,0
Female,Salaried,76440.59,30.1,Bachelor's,1
Female,Salaried,,7.2,Bachelor's,1
Male,Business,46095.72,1.1,Bachelor's,0
Male,Business,82221.26,0.1,Master's,1
Female,Salaried,61704.08,1.1,Bachelor's,0
Male,Salaried,59477.39,10.9,Master's,1
Male,Business,41834.23,0.1,Bachelor's,0
Male,Pensioner,32524.7,0.0,Bachelor's,0
Male,Salaried,53735.0,8.5,High School,1
Male,Salaried,85983.93,5.3,Bachelor's,1
Male,Salaried,12000.0,9.2,Doctorate,1
Male,Pensioner,28430.04,0.0,Bachelor's,0
Male,Salaried,96566.33,0.3,Bachelor's,1
Male,Salaried,67923.02,13.4,High School,1
Male,Business,58191.73,1.5,Master's,0
Female,Salaried,77000.0,4.8,Bachelor's,1
Female,Salaried,133663.72,6.2,Bachelor's,1
Male,Salaried,12102.9,1.1,Bachelor's,0
Female,Salaried,88460.82,22.4,Bachelor's,1
Female,Salaried,37651.48,4.0,Bachelor's,0
Male,Self-Employed,64402.45,0.4,Bachelor's,0
Male,Salaried,57563.6,16.6,Master's,1
Male,Self-Employed,52150.45,5.3,Master's,0
Female,Business,64686.05,7.2,Master's,1
Female,Business,30974.87,4.5,High School,0
Male,Salaried,95875.41,10.8,Master's,1
Male,Salaried,12000.0,0.2,High School,0
Male,Salaried,81192.94,1.9,High School,0
Female,Salaried,55203.92,3.8,Master's,1
Female,Salaried,29872.25,0.5,Master's,0
Female,Self-Employed,71071.5,7.3,Bachelor's,0
Female,Salaried,18291.47,3.0,Master's,0
Male,Salaried,66191.41,1.9,Doctorate,1
Male,Salaried,22313.69,0.0,Bachelor's,0
Male,Self-Employed,78838.16,7.6,Bachelor's,1
Male,Salaried,37269.28,10.8,Master's,1
Female,Self-Employed,51470.18,3.0,High School,0
Female,Salaried,73818.48,5.0,High School,0
Male,Pensioner,33878.11,0.0,Master's,0
Male,Pensioner,28303.71,0.0,Bachelor's,0
Female,Salaried,19585.08,0.1,High School,0
Male,Salaried,83926.27,4.0,Bachelor's,1
Female,Salaried,117947.41,6.2,Bachelor's,1
Male,Salaried,148766.27,15.0,Doctorate,1
Male,Self-Employed,67735.04,2.9,Bachelor's,0
Male,Business,88646.12,8.7,Bachelor's,1
Male,Self-Employed,12000.0,5.5,Doctorate,0
Male,Business,110082.03,15.7,Master's,1
Male,Salaried,88286.86,3.0,Bachelor's,1
Male,Salaried,50482.0,2.3,Master's,0
Female,Business,102115.42,13.1,Bachelor's,1
Female,Salaried,57365.72,0.3,High School,0
Female,Self-Employed,51259.24,0.9,High School,0
Female,Salaried,79260.05,0.5,Bachelor's,1
Female,Salaried,33099.37,11.1,Bachelor's,1
Male,Student,14278.93,0.7,Bachelor's,0
Male,Salaried,33320.31,11.9,Bachelor's,1
Female,Student,8601.0,0.6,High School,0
Male,Student,21855.31,1.1,High School,0
Female,Business,87785.0,3.1,Bachelor's,1
Female,Self-Employed,46496.74,1.2,High School,0
Male,Self-Employed,24560.13,5.9,Bachelor's,0
Male,Pensioner,20348.99,0.0,Bachelor's,0
Male,Salaried,64038.73,4.0,Bachelor's,1
Female,Salaried,29570.83,0.2,Bachelor's,0
Male,Self-Employed,30449.57,6.4,Bachelor's,0
Female,Salaried,128338.89,11.1,Master's,1
Female,Salaried,,7.6,Doctorate,1
Female,Salaried,55308.73,10.6,Master's,1
Male,Self-Employed,53982.89,1.3,Bachelor's,0
Male,Pensioner,16145.7,0.0,High School,0
Female,Salaried,83640.4,2.3,Bachelor's,1
Male,Pensioner,23638.41,0.0,Master's,0
Male,Self-Employed,55821.37,11.1,High School,1
Male,Business,27905.65,17.1,Bachelor's,1
Female,Self-Employed,103233.21,6.4,High School,1
Female,Business,62139.77,1.6,Bachelor's,0
Male,Salaried,116909.65,1.7,Bachelor's,1
Female,Business,12000.0,3.8,High School,0
Male,Salaried,70862.1,13.7,Master's,1
Male,Pensioner,49290.22,0.0,Bachelor's,0
Male,Student,16917.32,1.7,Bachelor's,0
Male,Salaried,58235.2,2.1,Bachelor's,0
Female,Salaried,73865.35,9.9,Bachelor's,1
Female,Business,48236.13,15.2,Bachelor's,1
Female,Salaried,55637.84,3.3,Bachelor's,0
Male,Pensioner,47523.71,0.0,Bachelor's,0
Male,Salaried,46177.38,9.7,Master's,1
Male,Salaried,101865.7,4.5,Bachelor's,1
Female,Student,24665.61,0.9,Bachelor's,0
Male,Self-Employed,72518.85,5.9,Bachelor's,1
Female,Business,89257.13,1.0,Master's,1
Female,Salaried,57069.33,11.2,High School,1
Female,Self-Employed,41773.89,1.3,High School,0
Female,Self-Employed,46921.27,16.2,Bachelor's,1
Female,Self-Employed,65053.49,1.7,Bachelor's,0
Female,Self-Employed,33223.65,7.9,High School,0
Male,Self-Employed,49992.17,2.0,Bachelor's,0
Male,Salaried,49516.5,2.3,Bachelor's,0
Female,Salaried,128736.69,2.2,Master's,1
Female,Business,12000.0,8.3,High School,0
Male,Salaried,59611.41,4.9,Master's,1
Female,Self-Employed,116770.81,12.9,High School,1
Female,Salaried,68655.33,2.2,Bachelor's,0
Male,Self-Employed,87602.52,7.1,Bachelor's,1
Female,Business,67994.79,8.4,Bachelor's,1
Female,Salaried,44980.0,1.0,Master's,0
Female,Salaried,12000.0,3.1,High School,0
Male,Salaried,71163.67,4.0,Bachelor's,1
Male,Self-Employed,41731.8,2.6,High School,0
Male,Business,40989.94,2.3,Bachelor's,0
Female,Salaried,50030.38,7.0,High School,0
Female,Business,117345.84,1.5,Master's,1
Male,Salaried,137145.13,7.4,Master's,1
Female,Salaried,71516.24,16.4,Master's,1
Female,Pensioner,25370.57,0.0,High School,0
Female,Salaried,29683.21,5.7,Bachelor's,0
Female,Salaried,79056.2,0.4,High School,0
Female,Salaried,118487.17,12.0,Master's,1
Male,Salaried,57579.79,2.0,Bachelor's,0
Female,Salaried,12000.0,5.7,Bachelor's,0
Male,Salaried,85101.49,23.2,Bachelor's,1
Female,Self-Employed,94561.99,5.4,High School,1
Male,Salaried,17424.63,7.7,Bachelor's,0
Female,Self-Employed,70294.53,3.5,Bachelor's,1
Male,Salaried,78536.78,0.4,Doctorate,1
Female,Salaried,62806.78,9.6,Master's,1
Male,Self-Employed,41276.87,0.2,Bachelor's,0
Female,Student,17760.96,0.5,Master's,0
Male,Salaried,52898.61,0.1,Bachelor's,0
Female,Pensioner,28235.39,0.0,Master's,0
Male,Self-Employed,12000.0,1.0,Bachelor's,0
Male,Self-Employed,102825.49,4.3,Bachelor's,1
Female,Self-Employed,83499.92,5.5,Bachelor's,1
Female,Salaried,67639.21,3.7,High School,0
Male,Salaried,51791.76,2.5,Bachelor's,0
Female,Self-Employed,49130.05,3.8,High School,0
Male,Salaried,32727.9,2.2,Doctorate,0
Male,Pensioner,36922.79,0.0,High School,0
Male,Salaried,12000.0,,Bachelor's,0
Female,Salaried,42918.09,5.0,Master's,0
Male,Business,55671.87,1.6,High School,0
Male,Salaried,83296.4,26.9,Bachelor's,1
Female,Self-Employed,63802.21,4.2,Bachelor's,1
Female,Self-Employed,88847.69,1.3,High School,0
Female,Pensioner,25674.84,0.0,Master's,0
Female,Business,96745.1,12.1,Bachelor's,1
Male,Self-Employed,79115.3,0.1,High School,0
Male,Self-Employed,65355.88,6.8,Bachelor's,1
Male,Pensioner,36627.14,0.0,Bachelor's,0
Male,Salaried,87198.32,,Master's,1
Female,Salaried,115392.42,10.2,Master's,1
Male,Salaried,75263.18,2.8,Bachelor's,1
Male,Salaried,122517.77,2.1,Bachelor's,1
Female,Self-Employed,19232.85,10.6,Bachelor's,0
Male,Self-Employed,30375.1,6.1,Bachelor's,0
Male,Self-Employed,90656.05,13.7,Bachelor's,1
Male,Salaried,72928.71,6.0,Master's,1
Male,Business,104413.47,8.1,Bachelor's,1
Male,Salaried,64535.85,10.9,High School,1
Male,Self-Employed,38960.74,0.3,Bachelor's,0
Female,Self-Employed,58592.2,9.0,High School,1
Female,Salaried,19019.48,5.7,Bachelor's,0
Male,Salaried,31142.28,0.4,Bachelor's,0
Male,Salaried,94173.32,4.3,Bachelor's,1
Female,Business,91183.62,0.5,Bachelor's,1
Male,Pensioner,24651.12,0.0,Master's,0
Male,Self-Employed,13367.67,4.7,High School,0
Male,Salaried,54247.89,18.4,Master's,1
Female,Salaried,28250.0,1.2,Bachelor's,0
Male,Business,100296.0,5.6,Master's,1
Female,Business,47488.34,1.4,Bachelor's,0
Male,Salaried,32427.57,5.7,High School,0
Female,Salaried,65893.88,7.7,Master's,1
Female,Business,45795.37,7.7,Bachelor's,1
Male,Salaried,109512.32,10.1,High School,1
Female,Salaried,42955.67,11.5,High School,1
Male,Salaried,23023.15,0.5,Bachelor's,0
Female,Self-Employed,12000.0,2.5,Bachelor's,0
Male,Pensioner,16784.02,0.0,Bachelor's,0
Male,Student,22664.1,1.8,Bachelor's,0
Female,Self-Employed,22132.86,1.3,Bachelor's,0
Male,Self-Employed,100676.79,4.8,Master's,1
Male,Salaried,85017.35,3.1,Bachelor's,1
Female,Self-Employed,64153.46,3.0,Bachelor's,0
Male,Salaried,105929.79,10.0,Master's,1
Male,Self-Employed,84876.08,3.1,High School,0
Female,Salaried,40314.32,0.2,Bachelor's,0
Female,Salaried,33823.4,0.4,Bachelor's,0
Male,Salaried,89539.45,11.6,Bachelor's,1
Male,Salaried,76891.01,19.4,High School,1
Female,Salaried,70092.43,7.0,High School,1
Female,Salaried,39605.07,2.7,Bachelor's,0
Male,Student,19330.54,1.9,Doctorate,0
Female,Salaried,42335.03,6.5,Bachelor's,0
Male,Self-Employed,61940.4,11.2,Bachelor's,1
Male,Pensioner,38895.24,,Bachelor's,0
Male,Student,7518.85,1.1,Bachelor's,0
Male,Self-Employed,17810.32,3.9,High School,0
Male,Business,33423.58,1.2,Bachelor's,0
Female,Salaried,94828.96,2.1,Bachelor's,1
Female,Salaried,72641.93,9.0,High School,1
Female,Salaried,61133.68,13.5,High School,1
Female,Self-Employed,49727.19,7.7,Bachelor's,0
Male,Self-Employed,79560.8,3.8,Master's,1
Male,Salaried,39526.85,0.5,Master's,0
Male,Salaried,74169.97,0.4,Bachelor's,1
Male,Self-Employed,43062.36,2.8,High School,0
Female,Salaried,38070.22,3.7,Bachelor's,0
Male,Self-Employed,45875.38,5.6,High School,0
Male,Self-Employed,53737.78,0.0,Bachelor's,0
Female,Business,63535.1,27.5,Master's,1
Female,Business,72063.67,2.7,Bachelor's,1
Female,Pensioner,21623.24,0.0,Doctorate,0
Female,Salaried,40770.48,4.6,Bachelor's,0
Male,Business,53252.9,0.8,Bachelor's,0
Male,Self-Employed,,9.6,Bachelor's,1
Female,Salaried,32599.92,7.4,Master's,0
Male,Salaried,69883.9,4.5,High School,0
Male,Salaried,109850.91,4.3,Master's,1
Male,Salaried,25610.94,0.5,Bachelor's,0
Female,Self-Employed,76819.26,6.4,High School,0
Male,Business,40931.84,14.5,Master's,1
Female,Salaried,49860.99,0.6,High School,0
Male,Salaried,40906.67,1.8,Master's,0
Male,Student,22803.13,0.6,Bachelor's,0
Male,Salaried,146657.36,2.0,Master's,1
Female,Salaried,90333.68,6.4,Bachelor's,1
Male,Self-Employed,98052.14,4.6,Bachelor's,1
Female,Self-Employed,79759.8,5.4,Bachelor's,1
Female,Salaried,16812.3,3.2,High School,0
Female,Salaried,76848.74,,Master's,1
Male,Salaried,97187.89,0.3,High School,1
Male,Self-Employed,39398.02,8.2,Bachelor's,0
Male,Self-Employed,93959.8,8.2,Bachelor's,1
Male,Salaried,86130.09,6.7,Bachelor's,1
Female,Self-Employed,120561.2,6.2,High School,1
Female,Business,52466.51,1.7,High School,0
Female,Salaried,32071.67,0.1,High School,0
Male,Salaried,54151.16,9.9,Master's,1
Female,Self-Employed,108067.13,4.1,High School,1
Male,Salaried,12000.0,2.2,Doctorate,0
Female,Salaried,12000.0,0.6,High School,0
Male,Self-Employed,67681.86,0.4,High School,0
Male,Pensioner,21053.93,0.0,Bachelor's,0
Female,Business,65231.84,9.8,High School,1
Female,Self-Employed,93359.35,15.1,Bachelor's,1
Female,Business,48422.92,13.6,Master's,1
Female,Salaried,12000.0,15.2,High School,0
Male,Self-Employed,126334.45,14.3,Master's,1
Female,Salaried,35083.15,4.5,Bachelor's,0
Female,Salaried,33228.89,1.5,High School,0
Female,Business,98111.6,9.6,High School,1
Male,Self-Employed,53465.33,1.4,Master's,0
Male,Salaried,63098.3,1.9,High School,0
Female,Pensioner,47300.56,0.0,Master's,0
Male,Salaried,97507.49,4.3,Bachelor's,1
Female,Salaried,54996.18,2.3,High School,0
Male,Salaried,110598.56,1.0,Bachelor's,1
Male,Business,12000.0,3.6,Master's,0
Male,Business,87793.62,12.4,Bachelor's,1
Male,Salaried,39814.17,5.1,Bachelor's,0
Female,Self-Employed,106168.14,12.6,Master's,1
Female,Salaried,69261.33,1.3,High School,0
Female,Business,44812.84,1.1,Master's,0
Male,Salaried,84885.23,5.1,Master's,1
Female,Salaried,91795.65,3.7,Bachelor's,1
Female,Pensioner,33297.5,0.0,Master's,0
Female,Salaried,34109.11,9.5,Bachelor's,1
Male,Salaried,50479.49,8.3,Bachelor's,1
Male,Self-Employed,64877.81,17.1,Bachelor's,1
Male,Student,7204.89,1.4,Bachelor's,0
Female,Salaried,87492.36,1.4,Bachelor's,1
Female,Salaried,12000.0,4.8,Bachelor's,0
Female,Salaried,75029.81,0.7,Bachelor's,1
Male,Self-Employed,56300.56,2.0,Bachelor's,0
Male,Salaried,39844.98,1.4,High School,0
Female,Self-Employed,42725.4,3.0,Bachelor's,0
Male,Student,24170.37,0.5,Master's,0
Male,Salaried,12000.0,0.2,Bachelor's,0
Male,Salaried,43961.31,6.4,Bachelor's,0
Male,Salaried,38725.56,5.7,High School,0
Female,Salaried,80983.5,7.4,Bachelor's,1
Male,Pensioner,24315.25,0.0,High School,0
Male,Salaried,58546.59,0.7,High School,0
Male,Salaried,111268.3,2.1,Bachelor's,1
Male,Self-Employed,94830.55,0.8,Bachelor's,0
Female,Salaried,92068.14,11.1,High School,1
Female,Self-Employed,50003.83,8.2,Bachelor's,0
Male,Salaried,81290.97,1.4,Master's,1
Male,Business,57983.07,2.5,High School,0
Male,Pensioner,25378.26,0.0,High School,0
Male,Self-Employed,77290.56,5.4,Bachelor's,1
Male,Student,7581.47,0.4,High School,0
Male,Salaried,109790.09,1.8,Doctorate,1
Female,Salaried,60196.1,1.4,Bachelor's,0
Male,Self-Employed,,9.2,Bachelor's,1
Female,Self-Employed,108668.01,6.9,Bachelor's,1
Female,Salaried,95949.61,6.9,Bachelor's,1
Male,Salaried,22732.43,4.8,High School,0
Female,Salaried,78346.88,5.0,Master's,1
Female,Salaried,90521.58,8.0,Bachelor's,1
Female,Salaried,91755.89,1.9,High School,1
Female,Business,31601.15,2.6,Bachelor's,0
Female,Salaried,45288.94,12.3,High School,0
Female,Salaried,94836.75,2.2,High School,1
Male,Self-Employed,42147.19,4.7,Bachelor's,0
Female,Self-Employed,56009.12,7.3,Bachelor's,0
Female,Pensioner,23164.02,0.0,Bachelor's,0
Female,Self-Employed,63566.02,3.4,High School,0
Male,Salaried,43196.78,3.4,Bachelor's,0
Female,Business,38671.48,11.1,High School,0
Male,Self-Employed,74981.58,9.8,Bachelor's,1
Female,Salaried,25005.56,7.9,Bachelor's,1
Male,Self-Employed,57579.92,3.7,Bachelor's,0
Male,Pensioner,37481.44,0.0,Master's,0
Female,Salaried,103974.49,5.6,Master's,1
Female,Salaried,85026.44,12.5,Doctorate,1
Male,Salaried,43578.05,12.9,Doctorate,1
Female,Salaried,100352.58,0.7,Master's,1
Male,Salaried,56014.55,3.4,Doctorate,1
Male,Self-Employed,27928.91,3.7,Master's,0
Male,Salaried,59838.76,22.8,Bachelor's,1
Male,Pensioner,30937.87,0.0,High School,0
Male,Business,69957.2,3.1,High School,0
Female,Self-Employed,65375.66,0.2,Master's,0
Male,Business,114116.35,5.0,Bachelor's,1
Male,Salaried,22059.35,0.6,Master's,0
Female,Salaried,26432.03,10.8,Bachelor's,0
Male,Self-Employed,16524.61,8.4,Bachelor's,0
Female,Business,76179.45,3.7,Bachelor's,1
Female,Business,69994.79,3.4,Master's,1
Female,Salaried,111282.09,13.7,High School,1
Male,Pensioner,34381.45,0.0,Master's,0
Male,Salaried,52875.29,1.7,Master's,0
Male,Pensioner,19282.77,0.0,Bachelor's,0
Female,Student,20681.89,1.6,Bachelor's,0
Male,Salaried,14847.16,10.3,High School,0
Female,Business,146309.95,1.3,High School,1
Male,Salaried,80596.13,0.9,Bachelor's,1
Female,Salaried,71300.25,0.2,High School,0
Male,Self-Employed,83454.92,1.6,High School,0
Male,Self-Employed,86282.33,8.9,Master's,1
Male,Pensioner,15755.65,0.0,Bachelor's,0
Female,Self-Employed,46062.77,7.8,Bachelor's,0
Female,Salaried,82983.52,1.7,High School,1
Male,Business,76571.33,3.0,Master's,1
Male,Student,6375.41,0.8,Master's,0
Female,Salaried,107571.07,1.7,Bachelor's,1
Female,Student,19745.39,1.6,Master's,0
Female,Salaried,86894.58,2.1,Master's,1
Male,Business,106757.63,0.7,Bachelor's,1
Female,Salaried,65656.66,4.0,Bachelor's,0
Male,Salaried,74508.56,,High School,0
Female,Salaried,89300.82,7.1,Bachelor's,1
Male,Self-Employed,43254.17,10.2,High School,0
Female,Salaried,66621.55,4.7,High School,0
Female,Salaried,68766.46,0.2,High School,0
Female,Self-Employed,36318.24,5.8,Master's,0
Female,Pensioner,46569.58,0.0,High School,0
